index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob,Flags 4,MH
,,,giant ant,S_ANT,2,18,3,0,0,G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,4,4,8,,,,
,,,giant mosquito,S_ANT,1,20,2,0,0,G_GENO|G_LGROUP|2,"ATTK(AT_BITE,AD_DRCO,1,1)","ATTK(AT_BITE,AD_PHYS,1,1)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,3,MS_BUZZ,MZ_TINY,,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS,M2_FEMALE|M2_HOSTILE,,9,-,-,-,4,5,13,,,,
,,,killer bee,S_ANT,1,18,-1,0,0,G_GENO|G_LGROUP|2,"ATTK(AT_STNG,AD_DRST,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_FEMALE|M2_HOSTILE,,11,-,POISON=100|-,-,5,5,26,MR_POISON=+5,,,
,,,soldier ant,S_ANT,3,18,3,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_STNG,AD_DRST,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,5,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,4,-,POISON=100|-,-,6,6,22,MR_POISON=+5,,,
,,,fire ant,S_ANT,3,18,3,10,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_BITE,AD_FIRE,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,6,6,19,MR_FIRE=+5,M4_VULNERABLE_COLD,,
,,,giant cockroach,S_ANT,4,16,3,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_DRCO,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_SMALL,MR_POISON,,M1_CLING|M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,2,-,-,-,6,6,24,,,,
,,,giant beetle,S_ANT,5,6,4,0,0,G_GENO|3,"ATTK(AT_BITE,AD_PHYS,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_DRUID_FORM_A|M2_HOSTILE,,0,-,POISON=100|-,-,6,6,26,MR_POISON=+5,,,
,,,queen bee,S_ANT,9,24,-4,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_STNG,AD_DRST,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_SMALL,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS,M2_LORD|M2_FEMALE|M2_HOSTILE,,5,-,POISON=100|-,-,12,12,180,MR_POISON=+5,,,
,,,locust,S_ANT,9,12,0,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,8)","ATTK(AT_STNG,AD_DISE,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS,M2_HOSTILE,,7,-,POISON=100|-,-,11,11,151,MR_POISON=+5,,,
,,,queen ant,S_ANT,14,24,-8,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,3,8)","ATTK(AT_STNG,AD_DRST,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_SMALL,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_LORD|M2_FEMALE|M2_HOSTILE|M2_NASTY,,6,-,POISON=100|-,-,16,18,425,MR_POISON=+5,,,
