"NetHack 3.7.0 (f58b7a8,2025/07/17)",namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,giant ant,S_ANT,2,18,3,0,0,G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,4,4,8,
,,,killer bee,S_ANT,1,18,-1,0,0,G_GENO|G_LGROUP|2,"ATTK(AT_STNG,AD_DRST,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_FEMALE|M2_HOSTILE,,11,-,POISON=100|-,-,6,5,26,MR_POISON=30
,,,soldier ant,S_ANT,3,18,3,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_STNG,AD_DRST,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,5,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,4,-,POISON=100|-,-,7,6,22,MR_POISON=20
,,,fire ant,S_ANT,3,18,3,10,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_BITE,AD_FIRE,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,6,6,19,MR_FIRE=20
,,,giant beetle,S_ANT,5,6,4,0,0,G_GENO|3,"ATTK(AT_BITE,AD_PHYS,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,50,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,0,-,POISON=100|-,-,6,6,26,MR_POISON=33
,,,queen bee,S_ANT,9,24,-4,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_STNG,AD_DRST,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS,M2_PRINCE|M2_FEMALE|M2_HOSTILE,,5,-,POISON=100|-,-,12,12,180,MR_POISON=60
,,,acid blob,S_BLOB,1,3,8,0,0,G_GENO|2,"ATTK(AT_NONE,AD_ACID,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_SLEEP|MR_POISON|MR_ACID|MR_STONE,MR_ACID|MR_STONE,M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID,M2_NEUTER|M2_WANDER,,2,UNSTONE=100|-,ACID=100|-,-,2,2,4,MR_ACID=33|MR_STONE=17
,,,quivering blob,S_BLOB,5,1,8,0,0,G_GENO|2,"ATTK(AT_TUCH,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_SMALL,MR_SLEEP|MR_POISON,MR_POISON,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE|M2_WANDER,,15,-,-,-,6,6,29,MR_POISON=33
,,,gelatinous cube,S_BLOB,6,6,8,0,0,G_GENO|2,"ATTK(AT_TUCH,AD_PLYS,2,4)","ATTK(AT_NONE,AD_PLYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,150,MS_SILENT,MZ_LARGE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC,M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID|M1_CARNIVORE|M1_HERBIVORE,M2_NEUTER|M2_HOSTILE|M2_WANDER,,6,UNSTONE=100|-,ACID=100|-,-,8,8,52,MR_FIRE=40|MR_COLD=40|MR_SLEEP=40|MR_ELEC=40
,,,chickatrice,S_COCKATRICE,4,4,8,30,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,2)","ATTK(AT_TUCH,AD_STON,0,0)","ATTK(AT_NONE,AD_STON,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_HISS,MZ_TINY,MR_POISON|MR_STONE,MR_POISON|MR_STONE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,PETRIFY=100|-,-,7,7,120,MR_POISON=27|MR_STONE=67
