index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,giant ant,S_ANT,2,18,3,0,0,G_GENO|G_SGROUP|G_NOHELL|4,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,4,4,8,
,,,giant tick,S_ANT,1,12,9,0,0,G_GENO|G_SGROUP|G_NOGEN|G_HELL|0,"ATTK(AT_BITE,AD_PHYS,1,1)","ATTK(AT_MULTIPLY,AD_PHYS,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,5,10,MS_SILENT,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,7,-,-,-,3,3,5,
,,,killer bee,S_ANT,1,18,-1,0,0,G_GENO|G_LGROUP|G_NOHELL|3,"ATTK(AT_STNG,AD_DRST,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_FEMALE|M2_HOSTILE,,11,-,POISON=100|-,-,5,5,26,MR_POISON=30
,,,giant flea,S_ANT,3,14,8,0,0,G_GENO|G_SGROUP|G_NOGEN|G_HELL|0,"ATTK(AT_BITE,AD_PHYS,1,2)","ATTK(AT_BITE,AD_PHYS,1,2)","ATTK(AT_MULTIPLY,AD_PHYS,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,5,10,MS_SILENT,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,7,-,-,-,5,5,16,
,,,soldier ant,S_ANT,3,18,3,0,0,G_GENO|G_SGROUP|G_NOHELL|3,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_STNG,AD_DRST,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,5,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,4,-,POISON=100|-,-,6,6,22,MR_POISON=20
,,,fire ant,S_ANT,3,18,3,10,0,G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_BITE,AD_FIRE,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,6,6,19,MR_FIRE=20
,,,snow ant,S_ANT,3,18,3,10,0,G_GENO|G_SGROUP|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,2,4)","ATTK(AT_BITE,AD_COLD,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_COLD,MR_COLD,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,6,-,-,-,6,6,19,MR_COLD=20
,,,giant beetle,S_ANT,5,6,4,0,0,G_GENO|G_NOHELL|4,"ATTK(AT_BITE,AD_PHYS,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,0,-,POISON=100|-,-,6,6,26,MR_POISON=33
,,,giant louse,S_ANT,5,16,6,0,0,G_GENO|G_SGROUP|G_NOGEN|G_HELL|0,"ATTK(AT_BITE,AD_PHYS,1,4)","ATTK(AT_BITE,AD_PHYS,1,4)","ATTK(AT_MULTIPLY,AD_PHYS,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,7,-,-,-,7,7,32,
,,,tsetse fly,S_ANT,3,15,0,0,0,G_GENO|G_SGROUP|G_HELL|1,"ATTK(AT_STNG,AD_SLEE,1,3)","ATTK(AT_STNG,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_SLEEP|MR_POISON,MR_SLEEP|MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_HOSTILE|M2_NASTY,,2,-,POISON=100|-,-,8,8,53,MR_SLEEP=20|MR_POISON=20
